subject,unknown,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,fusiform,inferiorparietal,inferiortemporal,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,parahippocampal,paracentral,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,frontalpole,temporalpole,transversetemporal,insula
sub3,326.0369,311.8059,126.9004,194.6391,873.4415,367.8171,915.009,538.881,1215.3954,195.4057,1015.1647,793.7145,763.7585,884.7698,722.6545,525.2714,217.955,293.2012,243.4069,333.8387,867.7592,296.4116,207.1052,313.8493,383.0513,538.2604,300.3799,379.1109,620.2202,412.2869,528.1462,478.4161,498.1045,125.183,140.5921
sub3,147.5624,2442.0569,1597.082,1855.7932,2662.3777,-0.782,49.5079,1035.3257,-0.518,946.8088,861.8958,-22.1339,1459.1002,-32.1111,554.2511,164.5689,1532.1243,1437.1213,2305.7192,1218.5768,2606.5183,856.3707,1361.3191,787.348,1947.2073,776.4192,1344.8445,1660.8096,1309.9191,1102.8271,1873.1625,881.6965,0.0,2037.0756,1145.4885
sub3,2197.4661,3955.7278,2266.0259,3145.4758,6583.8135,1575.1863,4334.5146,5272.1362,4112.75,2472.1213,7103.9204,3001.7708,5280.7544,2979.0886,4600.0923,2186.8154,2730.5786,3132.6562,3505.7922,3483.6824,6247.958,3321.8882,2305.5393,3152.145,3948.3611,2519.792,3924.2385,3742.2505,6081.3135,3808.4983,4410.7622,2831.0039,2080.5305,2592.7925,2331.3455
sub3,2049.9036,1513.6709,668.9438,1289.6826,3921.4358,1575.9683,4285.0068,4236.8105,4113.2681,1525.3125,6242.0244,3023.9045,3821.6543,3011.1997,4045.8413,2022.2466,1198.4543,1695.5349,1200.073,2265.1055,3641.4397,2465.5176,944.2202,2364.7969,2001.1538,1743.3728,2579.394,2081.4409,4771.3945,2705.6711,2537.5996,1949.3074,2080.5305,555.7169,1185.8569
sub3,5752.4,994.9,651.5,2140.6,1224.6,467.5,2698.9,4065.4,2789.9,965.6,4562.0,2126.3,2765.0,1514.8,2695.5,756.4,1301.7,1494.5,555.5,1112.2,1170.2,3999.6,1177.7,4600.5,3430.7,680.5,4766.6,6624.5,4984.4,3389.6,3636.4,200.7,471.0,432.6,2019.8
sub3,1496.9648,3095.2573,2096.7339,2578.8291,3285.0776,767.0457,2188.1917,3609.6765,2001.1276,2004.2321,3764.6396,1611.1399,2590.9402,1344.3713,2929.385,1534.8801,2044.0586,2720.3071,2966.8213,3013.2671,3678.5537,2635.6357,1906.6147,2433.3203,2557.5461,1936.8981,3338.2498,2509.7512,3074.3442,2691.0603,3089.384,2373.7092,1194.7037,2413.7654,2101.2861
sub3,318.709,274.5892,161.2464,180.2271,613.7638,333.2478,827.8459,442.4317,1208.4303,168.5507,1078.8577,728.1174,673.1982,963.1949,641.0317,487.9362,186.1671,396.8143,490.9839,386.1783,823.8161,409.0399,152.1123,368.9448,288.18,580.2911,442.925,445.6276,485.574,354.4168,498.3341,529.7452,641.1422,144.1057,142.3289
sub3,147.5624,2478.7375,1714.2963,2154.2764,1384.5975,66.0533,206.736,891.6888,20.2698,1290.7289,166.5087,52.053,833.1611,30.7196,963.4076,94.9919,1212.8898,1966.8512,1923.828,2161.606,2601.4883,1223.9454,1457.5143,1226.2275,1865.7341,890.5582,902.7407,1282.6835,1106.6675,1585.1354,1986.5022,931.2782,77.2462,2103.2671,1359.7762
sub3,2162.8923,3884.4548,2529.5078,3207.085,5565.1426,1519.9016,3726.7915,5042.8721,4097.1416,2386.1382,5924.7344,3064.2659,4962.8633,3304.4895,4300.5591,2237.2207,2582.1899,3865.6985,4229.2383,3774.9028,5924.7344,3719.4531,2183.1172,3502.4485,3732.374,2700.4121,4957.6489,4078.6147,5369.7222,3617.575,4272.0928,3301.4365,2470.9226,2757.541,2529.78
sub3,2015.33,1405.7173,815.2115,1052.8086,4180.5449,1453.8484,3520.0554,4151.1831,4076.8718,1095.4093,5758.2256,3012.2129,4129.7021,3273.77,3337.1514,2142.2288,1369.3002,1898.8473,2305.4102,1613.2969,3323.2461,2495.5078,725.6029,2276.2209,1866.6399,1809.8539,4054.9082,2795.9312,4263.0547,2032.4396,2285.5906,2370.1582,2393.6763,654.2739,1170.0038
sub3,5836.6,876.9,709.3,1996.8,1273.5,403.9,2562.0,4790.5,2642.6,876.2,4459.7,2180.8,2782.8,1511.5,2984.7,772.6,1534.0,1281.0,680.1,1265.2,1289.5,3828.1,1182.7,4673.9,3442.7,547.1,4953.1,6351.2,5018.3,3207.0,3387.9,258.0,447.4,303.3,1856.7
